AccountId,Amount,CloseDate,CreatedById,CreatedDate,CurrencyIsoCode,HasOpportunityLineItem,Id,IsClosed,IsDeleted,IsWon,LastActivityDate,LastModifiedById,LastModifiedDate,LeadSource,Name,NextStep,OwnerId,Pricebook2Id,Probability,RecordTypeId,StageName,SystemModstamp,TotalOpportunityQuantity,Type,bDemoSetByOwner__c,bOnlineBookingAvailable__c,bTrialClosed__c,curIncrementalMRR__c,dateTrialCloseDate__c,dateTrialEndDate__c,dateTrialStartDate__c,fmlChannelCountryCode__c,fmlChannelSalesType__c,fmlChannelUserRole__c,fmlChannel__c,strCompetitorSystem__c,object_type
001b000003RFqZUAA1,138.0,2016-09-13,005b00000039tQ0AAI,2016-07-22 08:43:58,EUR,True,006b000000LQm1OAAT,False,False,False,2016-09-13,005b00000039tQ0AAI,2016-09-13 14:08:42,Paginasamarillas,El Cano Fuencarral,,005b00000039tQ0AAI,01sb0000002b6ICAAY,80.0,012b0000000DhetAAC,Submitted,2016-09-13 14:08:42,5.0,,True,False,False,0.0,,,,ES,FirstSell,SME,FirstSell_SME_ES,,Opportunity
001b000003Ucq1iAAB,,2016-09-30,005b00000045JWmAAM,2016-09-13 13:09:16,EUR,False,006b000000MSLsSAAX,False,False,False,2016-09-20,005b0000002l2LiAAI,2016-09-13 14:09:06,Factual,NÜÜGA,,005b0000002f0jgAAA,,30.0,012b0000000DhetAAC,Demo Set,2016-09-13 14:09:06,,,False,False,False,0.0,,,,ES,FirstSell,SME,FirstSell_SME_ES,,Opportunity
001b000003UcqBxAAJ,,2016-09-30,005b0000002f0lXAAQ,2016-09-13 13:27:19,EUR,False,006b000000MSLxDAAX,False,False,False,2016-09-19,005b0000002l2LiAAI,2016-09-13 14:09:06,Key Account,comprar-tpv.com-,,005b0000002f0lXAAQ,,60.0,012b0000000DherAAC,F2F Demo,2016-09-13 14:09:06,,Firstsell,True,False,False,0.0,,,,ES,FirstSell,KEY,FirstSell_KEY_ES,,Opportunity
001b000003UcqDFAAZ,,2016-09-30,005b00000038MWcAAM,2016-09-13 13:28:49,CHF,False,006b000000MSLy1AAH,False,False,False,2016-10-18,005b0000002l2LiAAI,2016-09-13 14:09:06,Operations,nail & spa GmbH,,005b0000001PYraAAG,,30.0,012b0000000DhetAAC,Demo Set,2016-09-13 14:09:06,,,False,False,False,0.0,,,,CH,FirstSell,SME,FirstSell_SME_CH,,Opportunity
001b000003U0RT8AAN,70.0,2016-09-13,005b0000003ZZXUAA4,2016-09-13 13:30:22,GBP,True,006b000000MSLyaAAH,False,False,False,,005b0000002l2LiAAI,2016-09-13 14:09:06,,Upsell.. website,,005b0000003ZZXUAA4,01sb0000002OocoAAC,80.0,012b0000000kI5gAAE,Upsell confirmation requested,2016-09-13 14:09:06,1.0,Happy Merchant,False,False,False,87.5,,,,GB,UpSell,CS,UpSell_CS_GB,,Opportunity
001b000003UcqG9AAJ,,2016-09-30,005b0000001QAr5AAG,2016-09-13 13:33:12,CHF,False,006b000000MSLz9AAH,False,False,False,2016-09-23,005b0000002l2LiAAI,2016-09-13 14:09:06,local_ch,Pneu-Huus Fokke,,005b0000003LteVAAS,,30.0,012b0000000DhetAAC,Demo Set,2016-09-13 14:09:06,,,False,False,False,0.0,,,,CH,FirstSell,SME,FirstSell_SME_CH,,Opportunity
001b000003UcqLbAAJ,,2016-09-30,005b0000003a5W4AAI,2016-09-13 13:39:26,EUR,False,006b000000MSM0gAAH,False,False,False,2016-09-21,005b0000002l2LiAAI,2016-09-13 14:09:06,Yelp,Rourou,,005b0000001zG6sAAE,,30.0,012b0000000DhetAAC,Demo Set,2016-09-13 14:09:06,,,False,False,False,0.0,,,,DE,FirstSell,SME,FirstSell_SME_DE,,Opportunity
001b000003UcqM0AAJ,,2016-09-30,005b00000020cwaAAA,2016-09-13 13:40:31,EUR,False,006b000000MSM10AAH,False,False,False,2016-09-27,005b0000002l2LiAAI,2016-09-13 14:09:06,Operations,Die Küchengeister,,005b0000002marpAAA,,30.0,012b0000000DhetAAC,Demo Set,2016-09-13 14:09:06,,,False,False,False,0.0,,,,DE,FirstSell,SME,FirstSell_SME_DE,,Opportunity
001b000003UcqOnAAJ,,2016-09-30,005b0000002f0lXAAQ,2016-09-13 13:42:22,EUR,False,006b000000MSM1PAAX,False,False,False,,005b0000002l2LiAAI,2016-09-13 14:09:06,Key Account,Retail Real Estate Services-,,005b0000002f0lXAAQ,,60.0,012b0000000DherAAC,F2F Demo,2016-09-13 14:09:06,,Firstsell,True,False,False,0.0,,,,ES,FirstSell,KEY,FirstSell_KEY_ES,,Opportunity
001b000003UcqRSAAZ,,2016-09-30,005b0000003ANwGAAW,2016-09-13 13:47:15,EUR,False,006b000000MSM31AAH,False,False,False,2016-09-20,005b0000002l2LiAAI,2016-09-13 14:09:06,Key Account,Q21 REAL ESTATE-,,005b0000003ANwGAAW,,40.0,012b0000000DherAAC,40 - Online Demo set,2016-09-13 14:09:06,,Firstsell,True,False,False,0.0,,,,ES,FirstSell,KEY,FirstSell_KEY_ES,,Opportunity
001b000003UcqS1AAJ,,2016-09-30,005b0000003a5VBAAY,2016-09-13 13:48:33,EUR,False,006b000000MSM3VAAX,False,False,False,2016-10-05,005b0000002l2LiAAI,2016-09-13 14:09:06,Other,Signature Hair Concept,,005b0000004CxlgAAC,,30.0,012b0000000DhetAAC,Demo Set,2016-09-13 14:09:06,,,False,False,False,0.0,,,,DE,FirstSell,SME,FirstSell_SME_DE,,Opportunity
001b000003UcqTYAAZ,,2016-09-30,005b0000003ANwGAAW,2016-09-13 13:51:58,EUR,False,006b000000MSM4TAAX,False,False,False,2016-09-23,005b0000002l2LiAAI,2016-09-13 14:09:06,Key Account,IBERDROLA INMOBILIARIA-,,005b0000003ANwGAAW,,40.0,012b0000000DherAAC,40 - Online Demo set,2016-09-13 14:09:06,,Firstsell,True,False,False,0.0,,,,ES,FirstSell,KEY,FirstSell_KEY_ES,,Opportunity
001b000003UcqUqAAJ,,2016-09-30,005b0000003AK4VAAW,2016-09-13 13:55:11,EUR,False,006b000000MSM5WAAX,False,False,False,2016-09-13,005b0000002l2LiAAI,2016-09-13 14:09:06,Other,Lucia Novias,,005b0000003AK4VAAW,,30.0,012b0000000DhetAAC,Demo Set,2016-09-13 14:09:06,,,True,False,False,0.0,,,,ES,FirstSell,SME,FirstSell_SME_ES,,Opportunity
001b000003UcqWmAAJ,,2016-09-30,005b00000045JWmAAM,2016-09-13 13:58:46,EUR,False,006b000000MSM6yAAH,False,False,False,2016-09-20,005b0000002l2LiAAI,2016-09-13 14:09:06,Factual,La Cuchara Mágica,,005b00000039tQ0AAI,,30.0,012b0000000DhetAAC,Demo Set,2016-09-13 14:09:06,,,False,False,False,0.0,,,,ES,FirstSell,SME,FirstSell_SME_ES,,Opportunity
001b000003UcqZ7AAJ,,2016-09-30,005b0000003ZhfbAAC,2016-09-13 14:02:51,EUR,False,006b000000MSM81AAH,False,False,False,2016-09-16,005b0000002l2LiAAI,2016-09-13 14:09:06,Operations,COS ESVELT CENTRE FISIOESTÈTIC,,005b0000004gZgwAAE,,30.0,012b0000000DhetAAC,Demo Set,2016-09-13 14:09:06,,,False,False,False,0.0,,,,ES,FirstSell,SME,FirstSell_SME_ES,,Opportunity
001b000003Ucqf8AAB,,2016-09-30,005b00000021vXSAAY,2016-09-13 14:11:13,EUR,False,006b000000MSMAHAA5,False,False,False,2016-10-05,005b00000021vXSAAY,2016-09-13 14:11:15,Operations,Friseur Uhrle in Ulm,,005b0000001eA7YAAU,,30.0,012b0000000DhetAAC,Demo Set,2016-09-13 14:11:15,,,False,False,False,0.0,,,,DE,FirstSell,SME,FirstSell_SME_DE,,Opportunity
001b000003Ucg43AAB,,2016-09-30,005b00000021vXSAAY,2016-09-12 13:20:21,EUR,False,006b000000MSIHjAAP,False,False,False,2016-09-13,005b0000001eA7YAAU,2016-09-13 14:13:23,Yelp,Schmuck-Pavillion Orhan,,005b0000001eA7YAAU,,30.0,012b0000000DhetAAC,Demo Set,2016-09-13 14:13:23,,,False,False,False,0.0,,,,DE,FirstSell,SME,FirstSell_SME_DE,,Opportunity
001b000003T4Bj5AAF,,2016-09-30,005b00000021vXSAAY,2016-08-05 06:32:52,EUR,False,006b000000LSIzBAAX,False,False,False,2016-09-13,005b0000001eA7YAAU,2016-09-13 14:14:40,Factual,Autoservice Partowi,,005b0000001eA7YAAU,,30.0,012b0000000DhetAAC,Demo Set,2016-09-13 14:14:40,,,False,False,False,0.0,,,,DE,FirstSell,SME,FirstSell_SME_DE,,Opportunity
001b000003UcqK4AAJ,138.0,2016-09-13,005b00000039tQ0AAI,2016-09-13 13:37:13,EUR,True,006b000000MSM07AAH,False,False,False,2016-09-13,005b00000039tQ0AAI,2016-09-13 14:20:34,Recommendation,Elcano Lagasca,,005b00000039tQ0AAI,01sb0000002b6IbAAI,80.0,012b0000000DhetAAC,Submitted,2016-09-13 14:20:34,4.0,,True,False,False,0.0,,,,ES,FirstSell,SME,FirstSell_SME_ES,,Opportunity
001b000003UcqpIAAR,,2016-09-30,005b0000003Zd3JAAS,2016-09-13 14:23:55,EUR,False,006b000000MSMEiAAP,False,False,False,2016-09-21,005b0000003Zd3JAAS,2016-09-13 14:23:56,Yelp,Nehuen Tasca,,005b0000003AK4LAAW,,30.0,012b0000000DhetAAC,Demo Set,2016-09-13 14:23:57,,,False,False,False,0.0,,,,ES,FirstSell,SME,FirstSell_SME_ES,,Opportunity
001b000003UcqphAAB,,2016-09-30,005b0000003A29rAAC,2016-09-13 14:24:50,EUR,False,006b000000MSMFHAA5,False,False,False,2016-09-15,005b0000003A29rAAC,2016-09-13 14:24:51,Operations,Moem Estilistas,,005b0000004gZgmAAE,,30.0,012b0000000DhetAAC,Demo Set,2016-09-13 14:24:51,,,False,False,False,0.0,,,,ES,FirstSell,SME,FirstSell_SME_ES,,Opportunity
001b000003UcqPqAAJ,78.0,2016-09-13,005b00000039tQ0AAI,2016-09-13 13:44:21,EUR,True,006b000000MSM1oAAH,False,False,False,2016-09-13,005b00000039tQ0AAI,2016-09-13 14:26:24,Recommendation,Elcano Manuel Becerra,,005b00000039tQ0AAI,01sb0000002b6IbAAI,80.0,012b0000000DhetAAC,Submitted,2016-09-13 14:26:24,4.0,,True,False,False,0.0,,,,ES,FirstSell,SME,FirstSell_SME_ES,,Opportunity
